=== A1_数量表 ===
Full SKU,总销量,总取消数,总退货数(无平台介入),总退货数(平台介入),总退货数(平台强制退款),强制退货(仅退款),净销售
BE2B4E60K.10+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
BE2B4E60K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
BE2B4E65K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,6.0,0.0,0.0,0.0,0,0,6.0
BE2B4E70K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
BE2B9B40K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,4.0,0.0,1.0,0.0,0,0,3.7
BE2B9E28K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,10.0,1.0,0.0,0.0,0,0,9.0
BE2B9E45K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,4.0,0.0,0.0,0.0,0,0,4.0
BU1B4A28C.16+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
BU1B4A28K.16+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,4.0,0.0,0.0,0.0,0,0,4.0
BU1B4A28K.16+BU1B9A28K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
BU1B4A28K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
BU1B4B28K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
BU1B4B40K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,4.0,0.0,0.0,0.0,0,0,4.0
BU1B4B50K.16+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
BU1B4D28K.16+BU1B9D28K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
BU1B4D28K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
BU1B4D50K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
BU1B4D55K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
BU1B4E28K.16+BU1B9E28K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,8.0,0.0,0.0,1.0,0,0,7.5
BU1B4E28K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,10.0,1.0,0.0,0.0,0,0,9.0
BU1B9A28K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,4.0,0.0,0.0,0.0,0,0,4.0
BU1B9B28K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,9.0,0.0,0.0,0.0,0,0,9.0
BU1B9D28K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,8.0,1.0,1.0,0.0,0,0,6.7
BU1B9E28K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,11.0,0.0,0.0,0.0,0,0,11.0
BU1B9SKTX.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
NE1C2B40C.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,2.0,0.0,0.0,0.0,0,0,2.0
NE1C2B40K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,1.0,0.0,0.0,0.0,0,0,1.0
NE1C2E40C.16+NE1C9E40C.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,9.0,0.0,0.0,0.0,0,0,9.0
NE1C2E40C.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,35.0,0.0,1.0,0.0,0,0,34.7
NE1C2E40C.20+NE1C9E40C.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,3.0,0.0,0.0,0.0,0,0,3.0
NE1C2E40C.24+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,10.0,0.0,0.0,0.0,0,0,10.0
NE1C2E40C.32+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,5.0,0.0,0.0,0.0,0,0,5.0
NE1C2E40K.16+NE1C9E40K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,35.0,0.0,1.0,0.0,0,0,34.7
NE1C2E40K.20+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,29.0,0.0,0.0,1.0,0,0,28.5
NE1C2E40K.20+NE1C9E40K.1+0.0+0.0+0.0+0.0+0.0+0.0+0.0+0.0,14.0,1.0,0.0,0.0,0,0,13.0
